,id,code2s,code2,release date,rank,added_at,pre_rank,peak_rank,peak_date
103,353614685,US,PY,2019-10-09 00:00:00+00:00,174,2020-07-09 00:00:00+00:00,153.0,1,2020-04-25 00:00:00+00:00
104,349893435,US,JO,2019-10-09 00:00:00+00:00,197,2020-06-29 00:00:00+00:00,154.0,4,2020-06-20 00:00:00+00:00
105,351597791,US,JO,2019-10-09 00:00:00+00:00,92,2020-07-04 00:00:00+00:00,75.0,1,2020-06-20 00:00:00+00:00
106,355916834,US,LV,2019-10-09 00:00:00+00:00,192,2020-07-15 00:00:00+00:00,172.0,3,2020-04-10 00:00:00+00:00
107,352858622,US,LV,2019-10-09 00:00:00+00:00,170,2020-07-07 00:00:00+00:00,113.0,34,2020-04-10 00:00:00+00:00
108,355140205,US,HN,2019-10-09 00:00:00+00:00,178,2020-07-13 00:00:00+00:00,152.0,2,2020-06-27 00:00:00+00:00
109,349455977,US,HN,2019-10-09 00:00:00+00:00,161,2020-06-28 00:00:00+00:00,7.0,7,2020-06-27 00:00:00+00:00
110,345005182,US,EE,2019-10-09 00:00:00+00:00,192,2020-06-16 00:00:00+00:00,143.0,2,2020-04-02 00:00:00+00:00
111,316379084,US,EE,2019-10-09 00:00:00+00:00,7,2020-04-02 00:00:00+00:00,,7,2020-04-02 00:00:00+00:00
112,345737442,US,KH,2019-10-09 00:00:00+00:00,188,2020-06-18 00:00:00+00:00,100.0,3,2020-04-05 00:00:00+00:00
113,359624548,US,KH,2019-10-09 00:00:00+00:00,154,2020-07-25 00:00:00+00:00,150.0,1,2020-04-05 00:00:00+00:00
